"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"51","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-01-01,767031316.403,9493859.93,45037814.702,182.23952293578,16.2561743119266,3.94934862385321,27.1686146788991
"52","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-02-01,559780007.696,6387509.037,35437283.278,175.136880733945,15.7040550458716,3.24340366972477,27.1677339449541
"53","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-03-01,681799017.6,7742830.11,44704883.489,177.89419266055,15.6539266055046,3.87651376146789,27.2410458715596
"54","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-04-01,754514085.171,8711913.9,49004032.315,175.908486238532,15.8931467889908,4.26333944954128,27.4138440366972
"55","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-05-01,817719117.646,9317865.88,54708655.568,170.030917431193,15.6403302752294,3.79477981651376,27.1119174311927
"56","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-06-01,892944693.122,10120186.301,59351383.456,165.429201834862,15.2981100917431,4.9323119266055,27.1485229357798
"57","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-07-01,920916347.262,10475063.253,59348262.429,156.914229357798,15.2820275229358,5.08291743119266,26.8314403669725
"58","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-08-01,833981415.994,9209721.937,51770888.782,164.122366972477,15.7415688073394,4.61746788990826,26.4520458715596
"59","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-09-01,811225925.102,9016828.516,50797855.574,161.530752293578,15.3567889908257,4.34932110091743,26.4105779816514
"60","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-10-01,764715634.487,8393130.157,49677383.713,155.681550458716,14.9766146788991,3.37420183486239,26.4921834862385
"61","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-11-01,710846210.966,7832763.676,45404640.924,168.191963302752,15.8191009174312,3.81998165137615,26.6465779816514
"62","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2023-12-01,907712439.575,10621346.04,53760569.606,159.627302752294,15.5197614678899,4.96214678899083,27.0726146788991
"63","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-01-01,846730318.649,9632577.39,48429679.332,160.149596330275,15.7027339449541,3.7708623853211,26.9482660550459
"64","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-02-01,674379110.417,7124701.087,42580023.598,165.044513761468,15.5684678899083,3.3352752293578,27.1804128440367
"65","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-03-01,798436714.915,8392442.974,50648084.09,163.213623853211,15.4425504587156,3.89579816513761,27.2050458715596
"66","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-04-01,869334880.327,9180137.563,53510846.73,176.234339449541,16.5881100917431,3.56662385321101,27.4705596330275
"67","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-05-01,1022480538.867,10658208.345,64195612.169,167.451944954128,15.8708532110092,4.84771559633027,27.3064678899083
"68","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-06-01,1035196072.967,11026770.892,64461174.399,161.377027522936,15.6551834862385,5.03135779816514,27.1987247706422
"69","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-07-01,921824296.066,9913942.173,55769639.638,155.575889908257,15.4059449541284,3.81677064220183,27.3514587155963
"70","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-08-01,862965299.911,8914278.072,51125565.054,156.122733944954,15.2052568807339,4.18297247706422,28.2151559633028
"71","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-09-01,857305658.201,9052584.359,51076376.384,165.249577981651,15.5594220183486,4.10881651376147,28.8969082568807
"72","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-10-01,786472168.121,8216263.433,48604505.795,181.596798165138,16.2699082568807,3.75466055045872,28.8557155963303
"73","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-11-01,789254236.133,8354547.673,48643353.239,173.72,15.7613211009174,3.7751376146789,28.7063669724771
"74","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2024-12-01,929202940.91,10129199.81,54529398.868,172.540816513761,15.9498348623853,3.72195412844037,28.4820366972477
"75","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2021-12-01,16194567.15,245961.522,381213.519,65.842,42.482,21.079,68.15
"76","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-01-01,14776568.91,221342.185,348337.059,66.759,42.42,19.392,68.108
"77","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-02-01,8620579.043,131793.316,209647.854,65.41,41.119,13.885,69.386
"78","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-03-01,10540353.26,154492.074,249765.784,68.226,42.201,12.452,71.408
"79","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-04-01,13578596.79,197791.926,329296.145,68.651,41.235,15.586,72.843
"80","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-05-01,15381281.38,223035.77,328935.397,68.963,46.761,16.114,65.543
"81","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-06-01,18262633.02,267222.678,426452.35,68.342,42.825,21.34,72.812
"82","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-07-01,22487217.03,330051.02,525376.169,68.133,42.802,25.346,74.111
"83","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-08-01,22372759.75,325887.722,527617.373,68.652,42.403,20.137,76.746
"84","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-09-01,22132814.01,329429.396,538223.743,67.185,41.122,23.744,79.142
"85","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-10-01,20727564.56,304639.965,507412.451,68.04,40.85,21.542,81.045
