"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"53","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-03-01,65218884.128,669802.326,3729484.64,164.022902173913,13.9568260869565,2.43058695652174,25.4468260869565
"54","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-04-01,75760935.326,797781.965,4504015.51,175.579336956522,14.6817717391304,2.81433695652174,25.2812826086957
"55","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-05-01,81627632.819,846147.578,4944868.437,167.882054347826,14.171402173913,2.46546739130435,25.3977065217391
"56","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-06-01,83223323.598,858233.54,5172564.223,164.463608695652,13.8985217391304,3.05598913043478,25.7319239130435
"57","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-07-01,96842737.27,1002565.892,5762167.705,159.19847826087,13.8182065217391,3.54992391304348,25.9490869565217
"58","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-08-01,92027803.194,923658.116,5226417.683,159.418782608696,14.1679347826087,3.28615217391304,25.7029782608696
"59","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-09-01,84762439.931,841766.541,4770270.124,163.910173913043,14.1414565217391,3.00469565217391,25.3336956521739
"60","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-10-01,84555816.176,830554.333,4710648.816,160.641934782609,14.2600543478261,2.45572826086957,25.8215869565217
"61","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-11-01,77475264.678,764710.473,4312525.946,157.745434782609,14.0609130434783,2.71896739130435,26.1348152173913
"62","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-12-01,90541691.095,954294.901,4643973.393,167.673684782609,14.9737608695652,3.27934782608696,26.2033804347826
"63","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-01-01,87976327.952,927047.647,4272288.472,166.603347826087,15.2202934782609,2.62890217391304,26.2218043478261
"64","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-02-01,64914377.567,622130.425,3449910.358,168.001956521739,15.1674130434783,2.24870652173913,26.5058695652174
"65","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-03-01,74435829.645,713773.786,4075578.928,166.904434782609,15.0888043478261,2.53641304347826,26.7671086956522
"66","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-04-01,80261088.218,782330.656,4341733.659,169.042869565217,15.344402173913,2.27005434782609,26.7610326086957
"67","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-05-01,88845289.817,860701.958,4864583.768,170.932173913043,15.4909130434783,2.95033695652174,26.67675
"68","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-06-01,91885331.605,893590.688,5069592.079,170.249543478261,15.4164565217391,3.07632608695652,26.8351086956522
"69","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-07-01,99483012.057,957231.916,5279918.481,168.579934782609,15.5727934782609,2.77978260869565,27.5219347826087
"70","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-08-01,96513167.645,912429.692,5055302.012,165.489663043478,15.484902173913,3.21772826086957,27.6528369565217
"71","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-09-01,90652756.41,864181.268,4753783.871,176.763173913043,16.1969347826087,3.02317391304348,27.6945652173913
"72","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-10-01,89928303.645,851485.82,4706679.942,189.798293478261,16.2697608695652,2.9539347826087,27.9075
"73","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-11-01,78658870.357,748696.087,4116252.661,183.40872826087,16.028,2.61428260869565,27.9096630434783
"74","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2024-12-01,89820667.972,880385.456,4423390.948,189.907065217391,16.4374891304348,2.4965,27.93225
"75","Autoservicios Area 1_MT","MULTI-PACK","COLA",2021-12-01,2456097.592,30380.069,57521.917,80.846,42.698,14.169,66.162
"76","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-01-01,2786806.653,34489.058,65304.652,80.803,42.674,16.675,65.443
"77","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-02-01,1126197.718,13792.267,26106.567,81.654,43.138,8.375,65.001
